time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,left_right_balance,hrv,core_temperature,skin_temperature,respiration,tidal_volume,tidal_volume_min,heat_strain_index,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,191,68,83,8.83,8.827,25,27,0,,37.04,,16.5,96.0,22.0,0.0,0.0,0.0,16.5,22.0
1,173,67,84,17.65,8.827,25,25,45,703,37.04,,20.5,186.0,59.0,0.0,0.0,0.0,20.5,59.0
2,179,65,84,26.49,8.827,24,26,43,703:683,37.04,31.55,20.5,186.0,59.0,0.0,0.0,0.0,20.5,59.0
3,217,63,87,34.77,8.276,24,33,41,684:675,37.04,31.55,23.0,198.0,58.0,0.0,0.0,2.656748E-4,23.0,58.0
4,216,66,88,43.89,9.135,24,31,50,663,37.04,31.55,23.0,198.0,58.0,0.0,0.0,5.313496E-4,23.0,58.0
5,202,66,89,53.03,9.135,24,29,48,1312,37.04,31.55,23.0,252.0,78.0,0.0,0.0,7.9702446E-4,23.0,78.0
6,181,65,89,62.16,9.135,24,27,46,667,37.04,31.55,23.0,252.0,78.0,0.0,0.0,7.9702446E-4,23.0,78.0
7,229,65,89,71.02,8.827,24,34,47,675,37.04,31.55,23.0,222.0,55.0,0.0,0.0,0.0010626992,23.0,55.0
8,211,67,89,79.82,8.827,24,30,47,663:699,37.04,31.55,23.0,435.0,66.0,0.0,0.0,0.001328374,23.0,66.0
9,161,66,89,88.67,8.827,24,23,35,643:656,37.04,31.55,23.0,435.0,66.0,0.0,0.0,0.001328374,23.0,66.0
10,203,66,94,97.49,8.827,24,29,48,663:535,37.04,31.55,22.6,266.0,45.0,0.0,0.0,0.0015940489,22.6,45.0
11,203,63,92,106.3,8.827,24,31,48,769,37.04,31.55,22.6,266.0,45.0,0.0,0.0,0.0018597237,22.6,45.0
12,212,65,92,115.44,9.135,24,31,48,647,37.04,31.55,28.3,210.0,42.0,0.0,0.0,0.0021253985,28.3,42.0
13,213,65,92,124.56,9.135,24,31,50,648,37.04,31.55,28.3,97.0,31.0,0.0,0.0,0.0023910734,28.3,31.0
14,206,67,94,133.71,9.135,24,29,43,762:640,37.04,31.55,24.2,106.0,30.0,0.0,0.0,0.002656748,24.2,30.0
15,188,66,94,142.53,8.827,24,27,43,632,37.04,31.55,24.2,111.0,34.0,0.0,0.0,0.002656748,24.2,34.0
16,192,65,95,151.36,8.827,24,28,43,625,37.04,31.55,25.1,112.0,33.0,0.0,0.0,0.002656748,25.1,33.0
17,214,64,96,160.19,8.827,24,32,51,629:589,37.04,31.55,25.1,120.0,31.0,0.0,0.0,0.002922423,25.1,31.0
18,212,65,95,169.01,8.827,24,31,51,652,37.04,31.55,25.1,120.0,31.0,0.0,0.0,0.0031880978,25.1,31.0
19,179,66,94,177.84,8.827,24,26,51,785,37.04,31.55,26.1,141.0,38.0,0.0,0.0,0.0031880978,26.1,38.0
20,191,64,95,186.66,8.827,24,28,51,616:612,37.04,31.55,26.1,141.0,38.0,0.0,0.0,0.0031880978,26.1,38.0
21,217,65,96,195.5,8.827,24,32,46,609:607,37.04,31.55,26.1,165.0,44.0,0.0,0.0,0.0034537725,26.1,44.0
22,198,64,96,204.32,8.827,24,30,46,605,37.04,31.55,25.8,227.0,46.0,0.0,0.0,0.0034537725,25.8,46.0
23,212,65,97,213.14,8.827,24,31,46,612:605,37.04,31.55,25.8,227.0,46.0,0.0,0.0,0.0037194474,25.8,46.0
24,227,66,99,222.28,9.135,24,33,40,597,37.04,31.55,23.4,304.0,57.0,0.0,0.0,0.0039851223,23.4,57.0
25,129,67,97,231.11,8.827,24,18,40,740,37.04,31.55,24.8,269.0,63.0,0.0,0.0,0.0039851223,24.8,63.0
26,233,67,98,239.93,8.827,24,33,65,597,37.04,31.55,24.8,269.0,63.0,0.0,0.0,0.004250797,24.8,63.0
27,204,67,97,248.48,8.547,24,29,65,688:620,37.04,31.5,25.4,245.0,68.0,0.0,0.0,0.0045164716,25.4,68.0
28,199,65,100,257.03,8.547,24,29,46,564:569,37.04,31.55,25.4,245.0,68.0,0.0,0.0,0.004782147,25.4,68.0
29,211,65,100,265.31,8.276,24,31,51,574,37.04,31.55,28.0,185.0,62.0,0.0,0.0,0.0050478214,28.0,62.0
30,198,64,102,274.13,8.827,24,30,51,574:565,37.04,31.5,28.0,177.0,55.0,0.0,0.0,0.0050478214,28.0,55.0
31,176,64,103,282.95,8.827,24,26,52,563:569,37.04,31.5,28.0,177.0,55.0,0.0,0.0,0.0050478214,28.0,55.0
32,228,65,103,291.79,8.827,24,33,47,563:555,37.04,31.5,28.0,139.0,47.0,0.0,0.0,0.005313496,28.0,47.0
33,202,65,103,300.62,8.827,24,30,56,559,37.04,31.5,28.0,174.0,44.0,0.0,0.0,0.0055791712,28.0,44.0
34,183,64,105,309.44,8.827,24,27,51,550:546,37.04,31.5,28.0,209.0,41.0,0.0,0.0,0.0055791712,28.0,41.0
35,225,65,106,318.26,8.827,24,33,44,550:550,37.04,31.5,28.0,209.0,41.0,0.0,0.0,0.005844846,28.0,41.0
36,180,65,107,327.1,8.827,24,26,44,546:542,37.04,31.55,28.0,209.0,41.0,0.0,0.0,0.005844846,28.0,41.0
37,208,64,108,335.63,8.547,24,31,52,1085,37.04,31.55,27.7,236.0,38.0,0.0,0.0,0.0061105206,27.7,38.0
38,183,64,108,344.18,8.547,24,27,52,541,37.04,31.55,27.7,262.0,34.0,0.0,0.0,0.0061105206,27.7,34.0
39,212,63,109,353.03,8.827,24,32,58,1085,37.04,31.55,27.7,262.0,34.0,0.0,0.0,0.0063761957,27.7,34.0
40,197,63,109,361.85,8.827,24,30,58,535:542,37.04,31.55,24.4,248.0,45.0,0.0,0.0,0.0063761957,24.4,45.0
41,197,64,109,370.67,8.827,24,29,55,541:550,37.04,31.55,24.4,248.0,45.0,0.0,0.0,0.0063761957,24.4,45.0
42,221,65,109,379.49,8.827,24,32,51,546:565,37.04,31.55,24.4,233.0,56.0,0.0,0.0,0.0066418704,24.4,56.0
43,239,67,111,388.32,8.827,24,34,54,492,37.04,31.55,20.8,271.0,57.0,0.0,0.0,0.006907545,20.8,57.0
44,191,69,110,397.14,8.827,24,26,50,563:554,37.04,31.55,20.8,271.0,57.0,0.0,0.0,0.006907545,20.8,57.0
45,211,66,110,405.43,8.276,24,31,50,1082,37.04,31.55,20.8,308.0,57.0,0.0,0.0,0.00717322,20.8,57.0
46,216,70,111,414.89,9.461,24,29,53,535:535,37.04,31.55,18.6,274.0,50.0,0.0,0.0,0.007438895,18.6,50.0
47,166,70,111,424.34,9.461,24,23,44,1082,37.04,31.55,18.6,274.0,50.0,0.0,0.0,0.007438895,18.6,50.0
48,166,66,113,433.8,9.461,24,24,60,514:565,37.04,31.5,18.6,239.0,42.0,0.0,0.0,0.007438895,18.6,42.0
49,199,66,113,442.09,8.276,24,29,60,535:538,37.04,31.5,18.9,311.0,61.0,0.0,0.0,0.0077045695,18.9,61.0
50,199,63,112,450.9,8.827,24,30,54,535:546,37.04,31.5,18.9,311.0,61.0,0.0,0.0,0.007970245,18.9,61.0
51,237,64,113,459.73,8.827,24,35,44,529,37.04,31.5,18.9,383.0,79.0,0.0,0.0,0.008235919,18.9,79.0
52,238,67,113,468.57,8.827,24,34,44,531:527,37.04,31.5,20.2,334.0,70.0,0.0,0.0,0.008501594,20.2,70.0
53,175,67,112,477.7,9.135,24,25,44,531:569,37.04,31.5,20.2,334.0,70.0,0.0,0.0,0.008501594,20.2,70.0
54,218,67,113,485.97,8.276,24,31,50,512:529,37.04,31.55,20.2,285.0,61.0,0.0,0.0,0.008767269,20.2,61.0
55,206,67,113,494.8,8.827,24,29,50,531:531,37.04,31.55,20.0,291.0,62.0,0.0,0.0,0.009032943,20.0,62.0
56,192,67,113,503.63,8.827,24,27,52,538:527,37.04,31.5,20.0,291.0,62.0,0.0,0.0,0.009032943,20.0,62.0
57,192,67,113,512.45,8.827,24,27,55,535:529,37.04,31.5,20.0,297.0,62.0,0.0,0.0,0.009032943,20.0,62.0
58,187,66,113,521.29,8.827,24,27,48,523:535,37.04,31.5,20.4,267.0,55.0,0.0,0.0,0.009032943,20.4,55.0
59,259,66,113,529.83,8.547,24,37,48,531,37.04,31.5,20.4,267.0,55.0,0.0,0.0,0.009298619,20.4,55.0
60,193,69,113,538.38,8.547,24,27,48,542:535:529,37.04,31.5,20.4,236.0,47.0,0.0,0.0,0.009298619,20.4,47.0
61,184,67,113,546.93,8.547,24,26,48,531,37.04,31.5,20.4,236.0,47.0,0.0,0.0,0.009298619,20.4,47.0
62,192,66,112,555.19,8.276,24,28,48,535:535,37.04,31.5,20.4,298.0,57.0,0.0,0.0,0.009298619,20.4,57.0
63,267,68,113,564.34,9.135,24,37,45,538:527,37.04,31.5,20.4,359.0,66.0,0.0,0.0,0.009564294,20.4,66.0
64,168,69,113,573.46,9.135,24,23,49,,37.04,31.5,20.0,290.0,55.0,0.0,0.0,0.009564294,20.0,55.0
65,182,66,113,581.75,8.276,24,26,49,1593,37.04,31.5,20.0,290.0,55.0,0.0,0.0,0.009564294,20.0,55.0
66,178,66,113,590.02,8.276,24,26,49,1065:527,37.04,31.5,20.0,290.0,55.0,0.0,0.0,0.009564294,20.0,55.0
67,178,63,113,598.32,8.304,24,27,57,522,37.04,31.5,20.0,243.0,51.0,0.0,0.0,0.009564294,20.0,51.0
68,258,64,113,606.62,8.304,24,38,57,519:527:535,37.04,31.5,20.0,243.0,51.0,0.0,0.0,0.009829968,20.0,51.0
69,187,67,113,614.93,8.304,24,27,49,535,37.04,31.5,20.0,264.0,59.0,0.0,0.0,0.009829968,20.0,59.0
70,176,63,113,623.48,8.547,24,27,49,531:526,37.04,31.5,20.0,264.0,59.0,0.0,0.0,0.009829968,20.0,59.0
71,267,64,113,631.75,8.276,24,40,55,527:531,37.04,31.5,19.2,335.0,66.0,0.0,0.0,0.010095643,19.2,66.0
72,237,64,113,640.03,8.276,24,35,47,559:512,37.04,31.5,19.2,406.0,72.0,0.0,0.0,0.010361318,19.2,72.0
73,237,68,114,649.49,9.461,24,33,47,531:510,37.04,31.5,19.2,323.0,60.0,0.0,0.0,0.010626992,19.2,60.0
74,161,71,113,658.96,9.461,24,22,61,574:508,37.04,31.5,19.2,323.0,60.0,0.0,0.0,0.010626992,19.2,60.0
75,184,69,113,667.5,8.547,24,25,61,527:523,37.04,31.5,20.5,293.0,60.0,0.0,0.0,0.010626992,20.5,60.0
76,202,67,114,675.78,8.276,24,29,42,523,37.04,31.5,20.5,237.0,55.0,0.0,0.0,0.010892668,20.5,55.0
77,206,67,114,684.05,8.276,24,29,42,527:526,37.04,31.5,20.5,237.0,55.0,0.0,0.0,0.0111583425,20.5,55.0
78,206,66,113,692.34,8.276,24,30,57,531:542,37.04,31.5,20.5,235.0,62.0,0.0,0.0,0.011424017,20.5,62.0
79,197,67,113,701.16,8.827,24,28,58,527:531,37.04,31.5,20.5,235.0,62.0,0.0,0.0,0.011424017,20.5,62.0
80,217,68,112,709.98,8.827,24,30,47,519:573,37.04,31.5,19.9,423.0,75.0,0.0,0.0,0.011689692,19.9,75.0
81,202,68,113,718.81,8.827,24,28,47,512:531,37.04,31.5,19.9,423.0,75.0,0.0,0.0,0.0119553665,19.9,75.0
82,232,70,113,727.64,8.827,24,32,47,527:531,37.04,31.5,19.3,331.0,62.0,0.0,0.0,0.012221041,19.3,62.0
83,188,69,113,736.46,8.827,24,26,47,565:510,37.04,31.5,19.3,331.0,62.0,0.0,0.0,0.012221041,19.3,62.0
84,189,67,113,744.74,8.276,24,27,53,1062,37.04,31.5,19.3,331.0,62.0,0.0,0.0,0.012221041,19.3,62.0
85,216,67,113,753.01,8.276,24,31,53,531:527,37.04,31.5,20.6,326.0,69.0,0.0,0.0,0.012486716,20.6,69.0
86,216,67,113,761.85,8.827,24,31,55,535,37.04,31.5,20.6,326.0,69.0,0.0,0.0,0.012752391,20.6,69.0
87,264,71,112,771.3,9.461,24,36,48,526:569,37.04,31.5,20.6,414.0,89.0,0.0,0.0,0.013018066,20.6,89.0
88,219,74,112,780.76,9.461,24,28,36,519:535,37.04,31.5,20.6,414.0,89.0,0.0,0.0,0.013283741,20.6,89.0
89,179,73,112,790.22,9.461,24,23,36,535:538,37.04,31.5,19.9,384.0,73.0,0.0,0.0,0.013283741,19.9,73.0
90,184,71,112,798.5,8.276,23,25,50,541:535,37.04,31.5,19.9,353.0,57.0,0.0,0.0,0.013283741,19.9,57.0
91,182,69,112,806.78,8.276,23,25,58,535:531,37.04,31.5,19.6,260.0,46.0,0.0,0.0,0.013283741,19.6,46.0
92,191,67,112,815.05,8.276,23,27,54,563:515,37.04,31.5,19.6,260.0,46.0,0.0,0.0,0.013283741,19.6,46.0
93,262,69,112,823.33,8.276,23,36,52,526:527,37.04,31.5,19.6,260.0,46.0,0.0,0.0,0.013549415,19.6,46.0
94,190,71,113,832.79,9.461,23,26,48,531,37.04,31.5,20.8,212.0,49.0,0.0,0.0,0.013549415,20.8,49.0
95,183,69,112,841.34,8.547,23,25,59,535:559,37.04,31.5,20.8,212.0,49.0,0.0,0.0,0.013549415,20.8,49.0
96,182,68,112,849.62,8.276,23,26,48,515:529,37.04,31.5,20.8,257.0,64.0,0.0,0.0,0.013549415,20.8,64.0
97,223,67,113,857.9,8.276,23,32,48,527,37.04,31.5,21.2,321.0,74.0,0.0,0.0,0.01381509,21.2,74.0
98,181,69,112,866.17,8.276,23,25,44,1008:625,37.04,31.5,21.2,321.0,74.0,0.0,0.0,0.01381509,21.2,74.0
99,209,70,113,875.64,9.461,23,29,51,512,37.04,31.5,21.2,385.0,84.0,0.0,0.0,0.014080765,21.2,84.0
100,226,71,113,884.46,8.827,23,30,46,533:527,37.04,31.5,20.3,337.0,69.0,0.0,0.0,0.01434644,20.3,69.0
101,162,68,112,893.28,8.827,23,23,57,538:538,37.04,31.5,20.3,337.0,69.0,0.0,0.0,0.01434644,20.3,69.0
102,196,67,112,902.11,8.827,23,28,52,565:523,37.04,31.5,20.3,289.0,53.0,0.0,0.0,0.01434644,20.3,53.0
103,212,69,112,910.66,8.547,23,29,51,537:538,37.04,31.5,20.4,303.0,57.0,0.0,0.0,0.014612115,20.4,57.0
104,196,69,112,919.51,8.827,23,27,48,535,37.04,31.5,20.4,303.0,57.0,0.0,0.0,0.014612115,20.4,57.0
105,196,68,115,927.78,8.276,23,28,54,542:680,37.04,31.5,20.4,317.0,60.0,0.0,0.0,0.014612115,20.4,60.0
106,200,68,114,936.04,8.276,23,28,54,537:538,37.04,31.5,20.4,317.0,60.0,0.0,0.0,0.01487779,20.4,60.0
107,200,66,114,944.32,8.276,23,29,56,535,37.04,31.5,19.7,306.0,55.0,0.0,0.0,0.015143464,19.7,55.0
108,227,66,114,952.59,8.276,23,33,55,754:519,37.04,31.5,19.7,295.0,49.0,0.0,0.0,0.015409139,19.7,49.0
109,200,68,114,961.43,8.827,23,28,56,533,37.04,31.5,19.7,295.0,49.0,0.0,0.0,0.015674815,19.7,49.0
110,219,69,113,970.24,8.827,23,30,49,1074,37.04,31.5,19.3,287.0,53.0,0.0,0.0,0.01594049,19.3,53.0
111,197,70,115,979.07,8.827,23,27,45,538:472,37.04,31.5,19.3,287.0,53.0,0.0,0.0,0.01594049,19.3,53.0
112,182,67,112,987.62,8.547,23,26,56,625:541,37.04,31.5,19.3,279.0,57.0,0.0,0.0,0.01594049,19.3,57.0
113,211,67,112,996.16,8.547,23,30,56,550,37.04,31.5,18.8,315.0,62.0,0.0,0.0,0.016206164,18.8,62.0
114,206,67,111,1004.99,8.827,23,29,57,546:555,37.04,31.5,18.8,315.0,62.0,0.0,0.0,0.016471839,18.8,62.0
115,206,69,111,1013.82,8.827,23,29,57,546,37.04,31.5,19.3,283.0,56.0,0.0,0.0,0.016737513,19.3,56.0
116,191,69,110,1022.65,8.827,23,26,50,1100:546,37.04,31.5,19.3,283.0,56.0,0.0,0.0,0.016737513,19.3,56.0
117,191,69,110,1031.47,8.827,23,26,54,550,37.04,31.5,19.3,283.0,56.0,0.0,0.0,0.016737513,19.3,56.0
118,222,67,110,1039.75,8.276,23,32,54,550:542:546,37.04,31.5,20.0,215.0,51.0,0.0,0.0,0.017003188,20.0,51.0
119,167,68,110,1048.03,8.276,23,23,54,,37.04,31.5,20.0,215.0,51.0,0.0,0.0,0.017003188,20.0,51.0
120,195,67,113,1056.58,8.547,23,28,58,694:546,37.04,31.5,20.0,214.0,56.0,0.0,0.0,0.017003188,20.0,56.0
121,215,67,112,1065.12,8.547,23,31,52,546:546,37.04,31.5,20.6,268.0,62.0,0.0,0.0,0.017268863,20.6,62.0
122,221,67,111,1073.66,8.547,23,31,52,555:550,37.04,31.5,20.6,268.0,62.0,0.0,0.0,0.017534537,20.6,62.0
123,203,68,111,1082.49,8.827,23,29,51,559:550,37.04,31.5,21.4,273.0,59.0,0.0,0.0,0.017800212,21.4,59.0
124,194,68,110,1091.32,8.827,23,27,52,563,37.04,31.5,21.4,273.0,59.0,0.0,0.0,0.017800212,21.4,59.0
125,192,67,110,1100.15,8.827,23,27,46,559:546,37.04,31.5,21.4,273.0,59.0,0.0,0.0,0.017800212,21.4,59.0
126,205,68,109,1108.97,8.827,23,29,46,592:535,37.04,31.5,23.0,239.0,58.0,0.0,0.0,0.018065887,23.0,58.0
127,194,68,109,1117.8,8.827,23,27,46,515:586,37.04,31.45,24.9,280.0,71.0,0.0,0.0,0.018065887,24.9,71.0
128,236,68,109,1126.63,8.827,23,33,46,546:550,37.04,31.45,24.9,308.0,82.0,0.0,0.0,0.018331561,24.9,82.0
129,206,68,109,1135.46,8.827,23,29,55,554:569,37.04,31.5,24.9,308.0,82.0,0.0,0.0,0.018597238,24.9,82.0
130,206,69,108,1144.29,8.827,23,29,46,563,37.04,31.5,24.9,308.0,82.0,0.0,0.0,0.018862912,24.9,82.0
131,196,70,108,1153.11,8.827,23,27,59,559:559,37.04,31.5,24.9,362.0,97.0,0.0,0.0,0.018862912,24.9,97.0
132,197,70,108,1161.93,8.827,23,27,60,561:563,37.04,31.5,24.9,362.0,97.0,0.0,0.0,0.018862912,24.9,97.0
133,251,70,108,1170.77,8.827,23,34,38,555,37.04,31.5,23.0,454.0,84.0,0.0,0.0,0.019128587,23.0,84.0
134,253,74,110,1180.22,9.461,23,33,38,563:550:472,37.04,31.5,23.0,454.0,84.0,0.0,0.0,0.019394262,23.0,84.0
135,210,76,110,1189.68,9.461,23,26,38,,37.04,31.5,23.0,454.0,84.0,0.0,0.0,0.019659936,23.0,84.0
136,170,74,109,1198.23,8.547,23,22,52,1179:542,37.04,31.5,22.3,357.0,60.0,0.0,0.0,0.019659936,22.3,60.0
137,188,71,110,1206.51,8.276,23,25,49,535,37.04,31.5,22.3,357.0,60.0,0.0,0.0,0.019659936,22.3,60.0
138,275,71,110,1214.78,8.276,23,37,57,1085,37.04,31.5,22.3,259.0,36.0,0.0,0.0,0.019659936,22.3,36.0
139,193,72,110,1224.24,9.461,23,26,47,577:559:527,37.04,31.5,22.3,259.0,36.0,0.0,0.0,0.019659936,22.3,36.0
140,196,73,110,1233.7,9.461,23,26,60,542:550,37.04,31.5,19.7,330.0,48.0,0.0,0.0,0.019659936,19.7,48.0
141,162,72,110,1242.53,8.827,23,21,62,,37.04,31.5,19.7,400.0,59.0,0.0,0.0,0.019659936,19.7,59.0
142,185,69,108,1251.36,8.827,23,26,62,1131:563,37.04,31.5,19.7,400.0,59.0,0.0,0.0,0.019659936,19.7,59.0
143,215,69,109,1260.18,8.827,23,30,62,527:555,37.04,31.5,16.8,341.0,54.0,0.0,0.0,0.019925611,16.8,54.0
144,200,69,109,1269.01,8.827,23,28,58,722,37.04,31.5,16.8,341.0,54.0,0.0,0.0,0.020191286,16.8,54.0
145,190,68,109,1277.84,8.827,23,27,54,550:550,37.04,31.5,16.8,257.0,52.0,0.0,0.0,0.020191286,16.8,52.0
146,213,67,109,1286.66,8.827,23,30,53,550,37.04,31.5,16.8,257.0,52.0,0.0,0.0,0.02045696,16.8,52.0
147,290,70,109,1295.8,9.135,23,40,48,559:546,37.04,31.5,16.8,257.0,52.0,0.0,0.0,0.02045696,16.8,52.0
148,194,73,109,1305.26,9.461,23,25,48,546:550,37.04,31.5,18.6,242.0,59.0,0.0,0.0,0.02045696,18.6,59.0
149,167,72,109,1314.72,9.461,23,22,48,546,37.04,31.5,18.6,242.0,59.0,0.0,0.0,0.02045696,18.6,59.0
150,179,70,111,1323.0,8.276,23,24,56,559:550:555,37.04,31.5,18.6,252.0,62.0,0.0,0.0,0.02045696,18.6,62.0
151,196,69,110,1331.28,8.276,23,27,53,555,37.04,31.5,20.7,276.0,63.0,0.0,0.0,0.02045696,20.7,63.0
152,191,67,110,1339.56,8.276,23,27,53,558:555,37.04,31.5,20.7,276.0,63.0,0.0,0.0,0.02045696,20.7,63.0
153,245,67,110,1347.83,8.276,23,35,50,555,37.04,31.5,23.2,264.0,63.0,0.0,0.0,0.020722635,23.2,63.0
154,210,69,109,1356.1,8.276,23,29,51,1101:559,37.04,31.5,23.2,271.0,64.0,0.0,0.0,0.02098831,23.2,64.0
155,190,69,107,1365.25,9.135,23,26,51,584:593,37.04,31.5,23.2,271.0,64.0,0.0,0.0,0.02098831,23.2,64.0
156,201,69,107,1374.07,8.827,23,28,51,582,37.04,31.5,23.2,241.0,64.0,0.0,0.0,0.021253984,23.2,64.0
157,189,68,106,1382.9,8.827,23,27,51,582:578,37.04,31.5,23.2,335.0,72.0,0.0,0.0,0.021253984,23.2,72.0
158,229,70,105,1391.73,8.827,23,31,47,592,37.04,31.5,23.2,428.0,80.0,0.0,0.0,0.02151966,23.2,80.0
159,184,70,105,1401.18,9.461,23,25,47,578:574:569,37.04,31.5,23.2,428.0,80.0,0.0,0.0,0.02151966,23.2,80.0
160,187,69,105,1409.48,8.295,23,26,47,582,37.04,31.5,21.9,315.0,60.0,0.0,0.0,0.02151966,21.9,60.0
161,203,68,105,1418.31,8.827,23,29,58,565:569,37.04,31.5,21.9,315.0,60.0,0.0,0.0,0.021785336,21.9,60.0
162,225,68,105,1427.14,8.827,23,32,51,565:565,37.04,31.5,22.3,196.0,45.0,0.0,0.0,0.02205101,22.3,45.0
163,183,68,105,1435.96,8.827,23,26,52,563,37.04,31.5,22.3,196.0,45.0,0.0,0.0,0.02205101,22.3,45.0
164,204,67,106,1444.5,8.547,23,29,52,559:559,37.04,31.5,24.2,204.0,51.0,0.0,0.0,0.022316685,24.2,51.0
165,227,68,106,1453.33,8.827,23,32,52,588:546,37.04,31.5,24.2,206.0,56.0,0.0,0.0,0.02258236,24.2,56.0
166,201,68,106,1462.16,8.827,23,28,45,563:565,37.04,31.5,24.2,206.0,56.0,0.0,0.0,0.022848034,24.2,56.0
167,218,68,106,1470.98,8.827,23,31,53,565,37.04,31.5,23.2,229.0,60.0,0.0,0.0,0.023113709,23.2,60.0
168,265,71,106,1479.81,8.827,23,36,53,577:574,37.04,31.5,23.2,229.0,60.0,0.0,0.0,0.023379384,23.2,60.0
169,170,72,106,1488.65,8.827,23,23,51,569,37.04,31.5,24.1,235.0,55.0,0.0,0.0,0.023379384,24.1,55.0
170,165,70,105,1496.91,8.276,23,23,52,574:523:648,37.04,31.45,24.1,235.0,55.0,0.0,0.0,0.023379384,24.1,55.0
171,207,69,105,1505.19,8.276,23,29,56,550,37.04,31.5,24.1,235.0,55.0,0.0,0.0,0.023645058,24.1,55.0
172,232,70,106,1514.02,8.827,23,32,56,565:563,37.04,31.5,24.1,235.0,53.0,0.0,0.0,0.023910733,24.1,53.0
173,209,71,106,1522.84,8.827,23,28,57,569:563,37.04,31.5,24.1,235.0,53.0,0.0,0.0,0.024176408,24.1,53.0
174,211,71,105,1531.67,8.827,23,28,57,620:558,37.04,31.5,24.1,235.0,52.0,0.0,0.0,0.024442082,24.1,52.0
175,204,72,105,1540.8,9.135,23,27,45,565:578,37.04,31.5,24.1,235.0,52.0,0.0,0.0,0.024707757,24.1,52.0
176,200,71,105,1549.64,8.827,23,27,51,565,37.04,31.5,22.9,318.0,62.0,0.0,0.0,0.024973432,22.9,62.0
177,202,70,105,1558.47,8.827,23,28,47,574:563,37.04,31.5,22.9,400.0,71.0,0.0,0.0,0.025239108,22.9,71.0
178,254,72,106,1567.29,8.827,23,34,47,558:559,37.04,31.5,20.9,285.0,50.0,0.0,0.0,0.025504783,20.9,50.0
179,186,72,106,1576.11,8.827,23,25,47,559:559,37.04,31.5,20.9,285.0,50.0,0.0,0.0,0.025504783,20.9,50.0
180,182,70,106,1584.94,8.827,23,25,47,555,37.04,31.5,20.9,285.0,50.0,0.0,0.0,0.025504783,20.9,50.0
181,228,71,107,1593.77,8.827,23,31,54,554:546,37.04,31.5,20.9,186.0,42.0,0.0,0.0,0.025770457,20.9,42.0
182,218,71,107,1602.59,8.827,23,29,55,550:555,37.04,31.5,20.9,186.0,42.0,0.0,0.0,0.026036132,20.9,42.0
183,189,72,107,1611.42,8.827,23,25,47,578:538,37.04,31.5,20.9,201.0,56.0,0.0,0.0,0.026036132,20.9,56.0
184,196,72,107,1619.97,8.547,23,26,48,558,37.05,31.5,20.9,201.0,56.0,0.0,0.0,0.026036132,20.9,56.0
185,196,70,107,1628.24,8.276,23,27,45,563:559,37.05,31.5,19.3,275.0,59.0,0.0,0.0,0.026036132,19.3,59.0
186,201,70,106,1637.07,8.827,23,27,58,597,37.05,31.5,19.3,349.0,62.0,0.0,0.0,0.026301807,19.3,62.0
187,210,69,107,1645.9,8.827,23,29,58,550:574,37.05,31.5,18.8,308.0,59.0,0.0,0.0,0.026567481,18.8,59.0
188,189,69,106,1654.45,8.547,23,26,58,499:648,37.05,31.5,18.8,308.0,59.0,0.0,0.0,0.026567481,18.8,59.0
189,228,67,106,1662.99,8.547,23,32,56,569:563:569,37.05,31.5,22.1,279.0,61.0,0.0,0.0,0.026833156,22.1,61.0
190,212,68,106,1671.83,8.827,23,30,43,569,37.05,31.5,22.1,244.0,60.0,0.0,0.0,0.02709883,22.1,60.0
191,196,69,106,1680.64,8.827,23,27,45,573:574,37.05,31.5,22.1,244.0,60.0,0.0,0.0,0.02709883,22.1,60.0
192,227,70,105,1689.48,8.827,23,31,47,582:582,37.05,31.5,23.1,300.0,72.0,0.0,0.0,0.027364505,23.1,72.0
193,192,71,105,1698.3,8.827,23,26,45,582,37.05,31.5,23.1,300.0,72.0,0.0,0.0,0.027364505,23.1,72.0
194,198,70,105,1707.12,8.827,23,27,45,573:578,37.05,31.5,23.6,319.0,83.0,0.0,0.0,0.027364505,23.6,83.0
195,238,73,105,1716.59,9.461,23,31,41,593:555,37.05,31.5,23.6,319.0,83.0,0.0,0.0,0.02763018,23.6,83.0
196,203,74,105,1726.08,9.461,23,26,41,563,37.05,31.5,23.6,319.0,83.0,0.0,0.0,0.027895855,23.6,83.0
197,177,73,105,1735.54,9.461,23,23,58,565:564,37.05,31.5,24.7,230.0,67.0,0.0,0.0,0.027895855,24.7,67.0
198,206,73,106,1744.99,9.461,23,27,51,500:625,37.05,31.5,24.7,230.0,67.0,0.0,0.0,0.02816153,24.7,67.0
199,206,72,106,1753.82,8.845,23,27,51,555:555,37.05,31.5,25.6,208.0,49.0,0.0,0.0,0.028427206,25.6,49.0
200,204,72,107,1762.66,8.845,23,27,52,542:546,37.05,31.5,25.6,208.0,49.0,0.0,0.0,0.02869288,25.6,49.0
201,194,72,107,1771.51,8.845,23,26,54,546,37.05,31.5,25.6,208.0,49.0,0.0,0.0,0.02869288,25.6,49.0
202,194,71,107,1780.34,8.827,23,26,54,565:559,37.05,31.5,25.6,213.0,50.0,0.0,0.0,0.02869288,25.6,50.0
203,205,72,107,1789.17,8.827,23,27,54,559:563,37.05,31.5,25.6,213.0,50.0,0.0,0.0,0.028958555,25.6,50.0
